TITLE		
DATA TYPE		
ORIGIN	JASCO	
OWNER		
DATE	16/04/28	
TIME	14:54:17	
SPECTROMETER/DATA SYSTEM	"JASCO Corp., J-810, Rev. 1.00"	
RESOLUTION		
DELTAX	-0.2	
XUNITS	NANOMETERS	
YUNITS	CD[mdeg]	
Y2UNITS	HT[V]	
Y3UNITS	External[V]	
FIRSTX	350	
LASTX	240	
NPOINTS	551	
FIRSTY	-1.63827	
MAXY	6.76585	
MINY	-91.55531	
XYDATA		
255	6.38953	375.869
254.8	6.37266	375.989
254.6	6.40059	376.117
254.4	6.41178	376.25
254.2	6.48794	376.369
254	6.43761	376.5
253.8	6.40491	376.62
253.6	6.37577	376.812
253.4	6.38492	376.935
253.2	6.30959	377.064
253	6.1919	377.212
252.8	6.09845	377.368
252.6	6.06924	377.511
252.4	5.96382	377.656
252.2	5.85924	377.849
252	5.82046	377.997
251.8	5.68995	378.172
251.6	5.49604	378.339
251.4	5.27392	378.487
251.2	5.12438	378.639
251	4.86062	378.791
250.8	4.66192	378.991
250.6	4.49237	379.222
250.4	4.21623	379.433
250.2	4.03176	379.685
250	3.75893	379.903
249.8	3.55586	380.212
249.6	3.20627	380.509
249.4	2.97641	380.852
249.2	2.65563	381.218
249	2.21315	381.547
248.8	1.84958	381.928
248.6	1.39959	382.322
248.4	0.883051	382.777
248.2	0.42057	383.225
248	-0.215822	383.701
247.8	-0.881756	384.175
247.6	-1.67672	384.641
247.4	-2.47591	385.164
247.2	-3.3234	385.695
247	-4.10515	386.222
246.8	-5.00923	386.793
246.6	-5.91855	387.403
246.4	-6.73775	388.056
246.2	-7.76942	388.749
246	-8.78549	389.501
245.8	-9.87929	390.296
245.6	-10.969	391.094
245.4	-12.2173	391.93
245.2	-13.6593	392.832
245	-15.2744	393.763
244.8	-16.9529	394.716
244.6	-18.6779	395.735
244.4	-20.2365	396.821
244.2	-22.0982	397.89
244	-24.2206	399.042
243.8	-26.3278	400.248
243.6	-28.5398	401.527
243.4	-30.6945	402.853
243.2	-32.975	404.242
243	-35.3549	405.702
242.8	-38.0381	407.205
242.6	-40.8443	408.825
242.4	-43.7187	410.533
242.2	-46.984	412.292
242	-50.2501	414.132
241.8	-53.5477	416.052
241.6	-57.176	418.073
241.4	-61.0574	420.209
241.2	-64.9118	422.461
241	-69.0972	424.803
240.8	-73.2981	427.248
240.6	-77.4101	429.815
240.4	-81.8211	432.531
240.2	-86.4956	435.368
240	-91.5553	438.343
